timestamp,module,loc,functionCount,avgCc,minCc,maxCc,unusedFunctionCount,fanIn,fanOut,useCount,callCount,includeCount
2026-03-27T22:27:34.091Z,app/config/config.js,33,1,3,3,3,0,1,0,0,1,0
2026-03-27T22:27:34.091Z,app/lib/appInfo.js,230,12,6.083333333333333,2,12,0,14,17,0,18,0
2026-03-27T22:27:34.091Z,app/lib/appsRegistry.js,210,10,3.1,1,6,0,17,10,0,21,0
2026-03-27T22:27:34.091Z,app/lib/autoMode.js,793,42,3.2142857142857144,1,8,0,57,59,0,60,0
2026-03-27T22:27:34.091Z,app/lib/buildMetricsFromEntrypoint.js,1539,65,2.9384615384615387,1,8,0,84,91,0,98,0
2026-03-27T22:27:34.091Z,app/lib/fsPaths.js,132,5,3.4,2,5,0,27,5,0,27,0
2026-03-27T22:27:34.091Z,app/lib/graphStore.js,253,22,3.590909090909091,1,7,3,19,19,0,19,0
2026-03-27T22:27:34.091Z,app/lib/liveChangeFeed.js,424,10,3.1,1,6,0,14,13,0,15,0
2026-03-27T22:27:34.091Z,app/lib/nodeClassification.js,372,29,3.310344827586207,1,8,0,31,25,0,31,0
2026-03-27T22:27:34.091Z,app/lib/numberUtils.js,8,1,4,4,4,0,2,0,0,2,0
2026-03-27T22:27:34.091Z,app/lib/parseAst.js,936,96,3.0104166666666665,1,8,18,95,92,0,95,0
2026-03-27T22:27:34.091Z,app/lib/parseFile.js,188,10,3.8,2,7,0,11,10,0,12,0
2026-03-27T22:27:34.091Z,app/lib/projectPaths.js,21,0,0,0,0,0,0,0,0,0,0
2026-03-27T22:27:34.091Z,app/lib/requestNormalization.js,56,4,2.25,1,3,0,9,5,0,12,0
2026-03-27T22:27:34.091Z,app/lib/resolveImports.js,364,19,3.3684210526315788,1,8,0,25,26,0,28,0
2026-03-27T22:27:34.091Z,app/lib/scanProjectTree.js,333,23,2.4782608695652173,1,7,2,24,23,0,24,0
2026-03-27T22:27:34.091Z,app/lib/stringUtils.js,37,4,2.75,2,5,0,15,0,0,15,0
2026-03-27T22:27:34.091Z,app/routes/analyze.js,979,45,2.5555555555555554,1,6,5,49,59,0,59,0
2026-03-27T22:27:34.091Z,app/routes/apps.js,77,4,4.5,2,12,1,3,1,0,4,0
2026-03-27T22:27:34.091Z,app/routes/freeze.js,75,1,6,6,6,0,1,2,0,3,0
2026-03-27T22:27:34.091Z,app/routes/help.js,79,1,5,5,5,0,1,0,0,1,0
2026-03-27T22:27:34.091Z,app/routes/output.js,44,0,0,0,0,0,0,0,0,0,0
2026-03-27T22:27:34.091Z,app/routes/readme.js,282,23,2.9130434782608696,1,7,1,29,29,0,29,0
2026-03-27T22:27:34.091Z,app/server.js,157,0,0,0,0,0,0,0,0,0,0
2026-03-27T22:27:34.091Z,app/lib/analyze/projectFreeze.js,269,19,3.6315789473684212,1,10,1,25,30,0,32,0
2026-03-27T22:27:34.091Z,app/lib/graph/graphFinalize.js,307,25,3.12,1,11,0,29,36,0,38,0
2026-03-27T22:27:34.091Z,app/lib/analyze/artifacts.js,156,6,1.3333333333333333,1,3,0,8,9,0,11,0
2026-03-27T22:27:34.091Z,app/lib/analyze/csvExport.js,154,5,2,1,5,0,5,4,0,5,0